Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,Postal Code,Outcode,log_price,price_band
2200000,Flat / Apartment,1195,2,,london,SW1X 0JL,SW1X,14.603967918328545,7
1175000,Flat / Apartment,687,2,,london,SW1X 0JL,SW1X,13.976778705560397,4
9500000,House,4815,5,,london,W8 7JG,W8,16.06680235657077,9
3100000,Flat / Apartment,2470,4,holland park,london,W14 8JS,W14,14.946912669455374,8
5500000,House,3674,4,islington,london,N1 1HQ,N1,15.520258650202699,9
925000,Flat / Apartment,1012,3,highbury,london,N5 1QA,N5,13.737549016494562,3
550000,Penthouse,414,1,hackney,london,E2 8HN,E2,13.217673557208654,0
260000,Studio,381,1,hackney,london,E8 3RH,E8,12.468436909997665,0
550000,Flat / Apartment,547,1,hertford road,london,N1 5ET,N1,13.217673557208654,0
2400000,House,2202,5,hampstead,london,NW3 1TU,NW3,14.690979295318174,7
580000,New development,460,1,wandsworth,london,SW18 1TH,SW18,13.270783382522602,1
2300000,House,2785,5,fulham,london,SW6 3QR,SW6,14.648419680899378,7
1200000,House,1270,3,,london,SW12 8BE,SW12,13.997832114758229,4
1500000,House,1934,5,,london,SW12 8LH,SW12,14.22097566607244,6
2250000,House,2605,5,,london,SW4 9RR,SW4,14.626440774180603,7
1500000,House,2047,4,,london,SW12 9NZ,SW12,14.22097566607244,6
2150000,House,2850,5,,london,SW17 8RA,SW17,14.580978400103845,7
1595000,House,2555,6,,london,SW17 7AP,SW17,14.282384294201082,6
1565000,House,2088,5,,london,SW12 8DH,SW12,14.26339638195639,6
1500000,House,2173,5,,london,SW12 0DL,SW12,14.22097566607244,6
400000,Flat / Apartment,774,2,love lane,london,SE18 6GY,SE18,12.89921982609012,0
415000,Flat / Apartment,525,1,canary wharf,london,E14 9PW,E14,12.936033799212835,0
1395000,Penthouse,1230,2,dallington street,london,EC1V 0BH,EC1V,14.148404973237604,5
2800000,House,2734,6,chiswick,london,W4 1EN,W4,14.845129975145433,8
